No.;Fix/Dev;Ext/Int;Short description;Goal;"Created at 
(via Makro)";Folder;Object Type;Priority;Working Prio;Status;Comments / Next steps;Reporter;Responsible;Solution approach / Comment;Transport;Detailed description
661;;;Currency Code - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
662;;;Sales Organization - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
663;;;Material type - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
664;;;Storage Location - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
665;;;Division - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
666;;;Factory Calendar - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
667;;;Distribution Channel - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
668;;;Controlling Area - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
669;;;Material Status - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
670;;;Personal Area - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
671;;;Business Area - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
672;;;Functional Area - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
673;;;Incoterm - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
674;;;Sales Group - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
675;;;Shpping Type - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
676;;;Shipping Conditions - Translation to ES (Spanish);;;Link;;Low;0;Confirmed;;Walter;Christine;;;
677;;;Language updating as blank while loading Country Data ;;;Link;;Very High;0;Confirmed;;Deloitte;Mike;"29.10.24: SPRAS field missing in /ITR/T005; Field implementation in table /ITR/T005 done; SMT-Mapping adjusted accordingly; relevant Cust. in cust. Table /ITR/LSA_TABS_FV needs to be added to BC-Set, but will be delivered in customer note as manual task";;
678;;;RDM Object Material Group PF4 Revise picklists;;;Link;;Medium;0;Confirmed;;Gerd ;Mike/Frank;Development so far in OK order, retest after successful transaport in IH1/IH2/S01;;
679;;;Laboratory/office - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
680;;;BOM Usage - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
684;Fix;Int;Text Fields missing;2602;;Link;;Medium;0;New;;Michael;;;;
681;;;Document Type - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
682;;;Chart of Account - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
683;;;Operating Concern - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
685;;;Data Replication after System Refresh not working;;;Link;;Medium;0;Closed;;Michael;Günter/Andreas;;;
686;;;VPN connection fails multiple times ;;;Link;;High;0;Confirmed;;Michael;Andreas;08.04. MX von Andreas unersucht Solved;;
687;;;RDM Object Sales organization PF4 Revise picklists;;;Link;;Medium;0;Confirmed;;Gerd;Frank;"07.11.24:The retest was successful. The UI fields of the RDM object can be switched between the ERP and MDF database via the /ITU/SAPLUI_PF4 table. 
In the table /ITU/SAPLUI_PF4 the argument “SALESORG /ITR/_S_I1_PP_SALESORG SORGCCODE Sales Organization / Company Code” appears. There is no field with the Company Code input in the UI.";;
688;;;Language - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
689;;;Location - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
690;;;Exchange Rate - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
691;;;Characteristics - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
692;;;Classes - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
693;;;MRP Type - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
694;;;MRP Profile - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
695;;;MRP Area - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
696;;;Tax Code - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
697;;;Valuation Class - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
701;Fix;Int;Planning Scope, Deletion from Sequence not always possible;2511;;Link;Planning Scope;High;0;Obsolete;04.11.2024 Michael: works in IH2, waiting for Refresh of IH1, needs to be delivered to 2407 Customers like Arcelor Mittal;Michael;Frank;;;
698;;;Sales Office - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
699;;;Scope of Planning for MRP Unit Test - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
700;;;MRP Controller - Translation to ES (Spanish);;;Link;;Medium;0;Confirmed;;Walter;Christine;;;
706;Fix;Int;Automatic Filling Attribut Analysis - all object types;2602;;Link;;Medium;0;New;;Michael;Mike;;;
703;;;Payment Term File Upload fails;;;Link;;High;0;No Error;05.11.2024: The upload of a payment term needs to be finalize by the upload of at least one payment term detail (daylimit), otherwise the search for payment terms does not show anything;Michael;Mike;;;
704;;;"Direct Replication for Payment Terms from One CR Solution fails
";;;Link;Payment Term;Medium;0;No Error;;Michael ;Frank;;;
705;;;RDM Object Sales Organization PF4 Revise picklists Order Type;;;Link;;Low;0;Confirmed;;Gerd;Frank;The error message has been adapted in DE/EN;;
711;Fix;Int;RDM Object MRP Area PF4-Solution;;;Link;;Medium;0;Confirmed;;Gerd;Frank;Retest ok 25.02.25;;
707;;;RDM Object Factory Calendar Revise ICON;;;Link;;Medium;0;Confirmed;;Gerd;Frank;The icons are now available and the copy button has been removed;;
714;Fix;Int;Text field length limitation;2602;;Link;;Medium;0;New;;Gerd;Grigor;;;
716;Fix;Int;RDM Object Personnel area missing PF4 search help country code;2602;;Link;Personnel Area;Low;0;New;;Gerd;Mike;;;
718;Fix;Int;RDM Object Controlling Area Change PF4 SearchHelp CoA;;;Link;;High;0;Confirmed;;Gerd;Frank;ReTest 06.02.2025 PF4 CompCode is displayed in the ERP/MDG instead of CoA;;
708;;;RDM Object Factory Calendar PF4-Solution;;;Link;;Medium;0;Confirmed;;Gerd;Frank;;;
709;;;Create Payment Term (multi CR) dumps;;;Link;;Medium;0;Confirmed;08.11.: maybe not a valid test at the moment;Michael ;Mike;;;
713;;;Shipping Point (Itego Custom Object) Replication Issue;;;Link;;High;0;Confirmed;22.11.: Delivered with TA S02K900388;Intel;Mike;;;
724;Fix;Int;Analayze BP adapter classes for single request and create class for land ;2511;;Link;;Medium;0;Obsolete;Analyze;Niklas;Niklas;;;
719;;;Holiday Calendar;;;Link;;Very High;0;Confirmed;;Intel, Shell;Michael;08.04. Mx auf Solved gesetzt.;ID1K904573;
720;;;MDG Upgrade issue with ITEGO Objects;;;Link;;Very High;0;Confirmed;;Shell;Michael/Dieter/Frank;08.04. Mx auf Solved gesetzt.;;
727;Fix;Int;RDM Object Document Type PF4 Revise picklists Language_Key;;;Link;;Medium;0;Confirmed;;Gerd;Frank;The Translation for the PF4 maintenance UI (TA /ITU/PF4_CHOICE) in English has not yet been implemented.;;
723;;;Staging Variant Issue;;;Link;;Very High;0;Confirmed;;Intel;Michael/Frank;08.04. Mx Fran und Mike gelöst. BC Set aktivieren;;
729;Fix;Int;RDM Object Chart Of Accounts PF4 Revise picklists ;2602;;Link;Chart of Account;Medium;0;In Process;;Gerd;Frank;ReTest: The entry in the table /ITU/UI_PF4_SETV for the account group is missing here.;;
725;;;RDM Object Sales Organization Calling up the change function ;;;Link;;High;0;Confirmed;;Gerd;Frank/Michael;the configuration was changed by Frank, so the CR is solved;;
726;;;RDM Object Currency PF4 Revise picklists Language_Key;;;Link;;Medium;0;Confirmed;;Gerd;Frank;;;
735;Fix;Int;RDM Object Class PF4 Revise picklist Language Key;;;Link;;Medium;0;Confirmed;;Gerd;Frank;ReTest ok 26.02.25;;
728;;;Staging program background job issue;;;Link;;High;0;Confirmed;04.12.2024: As per customer - closed;Intel, Deloitte;Mike;;;
732;;;RDM Object Currency PF4 Revise picklist Language Key;;;Link;;Medium;0;Confirmed;;Gerd;Frank;ReTest 27/01/25 OK;;
733;;;RDM Object Division PF4 Revise picklist Language Key;;;Link;;Medium;0;Confirmed;;Gerd;Frank;ReTest 30/01/25 OK;;
736;;;RDM Object Valuation Class PF4 Revise picklist Language Key;;;Link;;Medium;0;Confirmed;;Gerd;Frank;ReTest ok  30.01.25;;
737;;;GTS: Uniof of Measure Create fails;;;Link;;High;0;Confirmed;10.12.2024: New defect 738 below;Michael/Intel;Frank;;;
738;Dev;;UoM Validation: same ISO Code maintained for UoMs in the same dimension;;;Link;;High;0;Confirmed;20.12.2024: can be tested in IH2 now;Gerd;Grigor;ReTest 27/03/25 OK;;
743;Fix;Int;Textfields missing (all object types to be checked);2602;;Link;;Medium;0;New;;;Grigor;For example: CoA Class missing for Validations;;
744;Fix;Int;DataFeed Interface Additional checkbox valid the following day;2602;;Link;;Medium;0;New;;Gerd/Thomas;Frank;;;
740;;;RDM Object Exchange Rate DataFeed Interface;;;Link;;Medium;0;Confirmed;;Gerd/Thomas;Frank;;;
741;;;RDM Object Exchange Rate DataFeed Interface Notation;;;Link;;Medium;0;Confirmed;;Gerd/Thomas;Frank;It is not possible to control the notation without TCURN;;
742;;;After Object Processing the object disappears in the search list;2503;;Link;;Very High;0;Confirmed;;Michael;Frank;08.04. Mx Frank gelöst;;
745;;;RDM Object Incoterms PF4 Revise picklists Language Key;;;Link;;Medium;0;Confirmed;;Gerd;Frank;ReTest 17.02.25 OK;;
749;Dev;Int;Cloud Ready Implementation PoC;2603;;Link;Cloud Ready;High;0;In Process;;Michael;Maxi;Upate needed from JMs Side;;
746;;;BC-Set /ITR/MDG_RDM_WORKFLOW_07 includes step types by accident related to ticket 455;;;Link;;;0;Confirmed;;Dieter;Dieter;1;"ID1K904804?
ID1K904814";
747;;;DataFeed-extension-TCURN;;;Link;;High;0;Confirmed;;Gerd;Frank;Provided Fix for Bayer as of Jan 25 24th ;;Frank's TR ID1K904077
748;;;Plant enhancement by Company Code;;;Link;;;0;Closed;;;;;;
750;;;F4 help inconsistency for plant object;;;Link;;High;0;No Error;17.01.25 Michael: asked them to wait for RDM2503;Shell;Michael;;;
751;;;RDH send not working;;;Link;;High;0;No Error;20.01.25 Michael: activation flag to be set;Shell;Frank;;;
756;Fix;Int;RDM 2503 Product Hierarchy Auhorization Issue;;;Link;;High;0;Confirmed;;Michael;Günter;;;
757;Fix;Int;RDM 2503 Product Hierarchy Workflow Issue;;;Link;;High;0;Confirmed;18.02.2025: Rootcause Editionen? Dieter und Frank schauen es sich mal an. Export/Import scheint ok zu sein.;Michael ;Dieter;;;
758;Fix;Int;RDM 2503 Chart of Accounts entries not shown in search;;;Link;;High;0;Confirmed;"18.02.25 Nacharbeit notwendig (Report ausführen oder Datenmodell generieren). Frank schaut mal.
13.02.25 Transport in IH1
11.02.25 Fix ist hergestellt, wartet auf Transport
10.02.25 Frank provided a fix / to be transported to IH1";Ulla;Frank;;;
759;Fix;Int;Transaction /ITR/ADMIN_STAGING Problem;;;Link;;High;0;Confirmed;;Maxi;;;;
761;Fix;Int;Not authorized to use Import transactions;2602;;Link;;Medium;0;In Process;10.02.25: Niklas und Günter im Kontakt, das meiste scheint gelöst;Niklas;Günter;;;
762;Fix;Int;MDF: Mandatory fields not working;;;Link;;Medium;0;Confirmed;"10.02.25: Workaround: Create Rule for Company Code - to be verified by Ulla

10.02.25 Duplicate 752 (ExxonMobil)";Ulla;Michael;;ID1K904815;
763;Fix;Int;Controlling Area - Sender Medium Description =! Receiver  Value Medium Description (Default Value?);;;Link;;High;0;Confirmed;"13.02.25 Maxi ist informiert und kann nachtesten. 
11.02.25 Ggf kommt dies aus dem ID1. Im BC Set ist dies schon deaktiviert. Müsste im BC Set aktiviert werden. 
10.02.25 BC Set falsch? Das Attribut war im Local Gov Scope ausgeschaltet?

10.02.25. with Direct Update it works, with LSA the name is not updated. Forwarded to Frank";Maxi;Frank, Dieter;BC-Set Staging_06 korrigiert, BEZEI aktiviert. BC-Set in IH1, IH2, IR1, IR2 aktiviert;;
764;Fix;Int;Language Key - Cannot Maintain Lang. Key Because it is not in System;;;Link;;Medium;0;Confirmed;"13.02.25 Maxi ist informiert das er Nachtesten kann
11.2.25 Mike und Frank arbeiten dran, aktuell im Fehler nach Änderung von FRank
7.2.25: Mike recherchiert schon ";Maxi;Mike;;;
766;Fix;Int;No arrival of replicated entries;;;Link;;High;0;Confirmed;;Maxi;Michael;;;
767;Fix;Int;Language Key  - IR1200 - LSA Report Error ;2602;;Link;Language;Medium;0;In Process;"11.2. unklar woran es liegt
10.2.25 Maxi noch mal gebeten 
6.2.25 Maxi gebeten dasnoch einmal mit dem SAP ALL user zu testen";Maxi;Frank;;;
768;Fix;Int;Shipping Conditions - IH1400 - LSA Report Error ;;;Link;;High;0;Confirmed;Important Side Note: Before Fix > IR2  200 worked beforehand;Maxi;Mike / Frank;;;
769;Fix;Int;DE Translation missing Controlling Area;2507;;Link;;Medium;0;Confirmed;;Ulla;Ulla;10.2.25 Ulla sammelt die Übersetzungsthemen für sich selbst;;
772;Fix;Int;Upload Lang Dep text fails for Material Group and Chart of Accounts;;;Link;;;0;Confirmed;;Niklas;;;;
773;FIx;Int;Missing role for MDF configuration;2602;;Link;all object types;Medium;0;In Process;7.2.25: Günter und Ulla im Kontakt;Ulla;;;;
774;Fix;Int;Missing spanish translation;;;Link;;Medium;0;Confirmed;;Ulla;Dieter;TR from Christine imported to IH1, IR2, IR1,IR2 and IQ1;;
775;Fix;Int;Shipping Conditions - IR1200 - LSA Report results in Runtime Error;;;Link;Shipping Conditions;High;0;Confirmed;Important Side Note: Before Fix > IR2  200 worked beforehand;Maxi;Mike / Frank;;;
753;;;"RDM Object Scope of planning Sorting the MRP_PF4_search help values
";;;Link;;Medium;0;Confirmed;;Gerd;Frank;Retest 05.02.2025 Successful;;
754;;;RDM Object Sales Office Group PF4 Revise picklists;;;Link;;High;0;Confirmed;;Gerd;Frank;ReTest 06.02.2025 Incorrect sorting of the ERP/MDG language;;
755;Fix;Ext;RDH - Idocs in Status 30;;;Link;;Very High;0;Confirmed;;Intel ;Frank;4.2.25 Note 755 delivered by Dieter ;;
779;Dev;Int;UI Properties – only work across change request type if * is set;2603;;Link;;Low;0;New;;Sabine;Michael;automatically fill the * during save if no change request type is maintained. At least it should be mentioned in the documentation that a * should be entered if the rule shall work for all CR types.;;
776;Fix;Ext;No option to execute start local staging report only for required entries;2503;;Link;several;High;0;Confirmed;;Intel;Frank;"01.04.  Frank Feature und Korrektur EN Language erstellt. Sollte als Fix geliefert werden. Test von Maren. 
27.03. Mx Ist Bestandteil 2503 mit Frank klären.";;
781;Fix ;Int;Controlling Area - UI Fiscal Year wont Update based on selected Fiscal Year in Entry Table Element;;;Link;Controlling Area;Medium;0;Confirmed;"13.2.24 Fix wurde transportiert - Retest durch Maxi
11.2.25 Fix schon gemacht, wartet noch auf Transport
10.2.25: Mike und Maxi schon im Kontakt?";Maxi;Mike;;;
782;Fix ;Int;MRP Area Internal Server Error;;;Link;MRP Area;Very High;0;Confirmed;"11.02.25 Tritt im ID1 nicht auf. Tritt nun im IH1 nicht mehr auf. Zurück an Ulla. 
10.02.25 Michael: verified and forwarded to Mike";Ulla;Ulla;;;
784;Fix;Int;SENDER IH100 - Transactional RFC Queue not getting Processesed;;;Link;;Very High;0;Confirmed;;Maxi;;;;
785;Fix;Int;Download and Upload same file for Char. Head is not possible;;;Link;Characteristic;High;0;Confirmed;"14.2.25 Fehlerhafter Derive durch Frank korrigiert
11.02.25 Currency auf UoM Feld
10.2.25 Niklas und Mike schon im Austausch. Currency im UoM Feld?";Niklas;Mike / Frank;;;
787;Fix;Int;RDM Object Country PF4 Revise picklists Currencies;2602;;Link;Country;Medium;0;New;;Gerd;Frank;;;
789;Fix;Int;Document Type - DE translation for one field missing;2507;;Link;Document Type;Low;0;Confirmed;;Ulla;Ulla;10.2.25 Ulla sammelt die Übersetzungsthemen für sich selbst;;
790;Fix;Int;IH1100 > IH1100 | IDoc Status 30 - Receiver of IDoc is its own logical system;;;Link;;High;0;Confirmed;;Maxi;Frank;;;
791;Fix;Int;Interval for source values not evaluated in derivation ;2602;;Link;;Medium;0;In Process;10.02.25: Michael ok, too bad … guess we need to solve this after 2503;Sabine;Michael;;;
793;Fix;Int;All Receivver - Country - Date Format not present in Receiver Systems;2503;;Link;Country;High;0;Confirmed;;Maxi;Frank;27.03. Mx Retest von Maxi war erfolgreich!;;
794;Fix;Int;All Receiver - Country - Decimal Format gets Defaulted in Receiver Systems;2503 Fix;;Link;Country;High;0;Confirmed;;Maxi;Mike;"08.04. MX Status Solved.
31.03: Mx SMT Mapping fehlt. Frank und Mike bearbeiten Fehler.
27.03. Mx komplexes Problem, Tabelle T005X fehlt in ITR, Datumfeld neueres Objekt ";"ID1K904610
ID1K904753";
795;Fix;Int;"Direct Update Storage Location not working
";2507;;Link;Storage Location ;High;0;Confirmed;;Ulla;Frank;27.03. Rückmeldung von Ulla 24.02. Lösungsvorschlag von Frank funktioniert. Source/Target System, only Target System needed.;;
798;Fix;Int;Purchasing Group fields telephone and extension missing after replication, ITR T024 field phone to short;2507;;Link;Purchasing Group;High;0;Confirmed;;Sabine;Frank;"10.04. Mx Status Solved Mail Sabine.
01.04. Mx Korrektur von Frank erstellt.
31.03. Mx Mail an Frank mit der Bitte zu prüfen.";"ID1K904773
ID1K904745";
799;Fix;Int;Material Group - values for purchasing value key missing;2503;;Link;Material Group;High;0;Confirmed;;Sabine;Mike;"31.03 Nachtest von Sabine erfolgreich. 
ID1K904637 gel. 25.03. 09:13 27.03.
 Mx Auf Retest und Info,";ID1K904637;
800;Fix;Int;Exchange Rate - DE translation field missing;2507;;Link;Exchange Rate;Low;0;Confirmed;;Ulla;Ulla;10.2.25 Ulla sammelt die Übersetzungsthemen für sich selbst;;
801;Fix;Int;Validation for non existing Division assigned in Material Group;;;Link;Material Group;High;0;Confirmed;"11.2.25 Ausschalten des ""No existence check"" auf der Relationship. Nachteil: hier könnte dann auch 02 eingetragen werden auch wenn 02 nicht in der T-Tabelle vorhanden ist. Außer: wir bauen noch eine Validierung ein für jedes Feld was in der Tabelle vorhanden ist. Bedeutet aber auch: Wechselwirkungen wenn der Kunde ein Z-Feld eingefügt hat(?) ... insbesondere wenn das Feld gelöscht wird. 
10.2.25 mit Mike angeschaut, anscheinend verursacht die Relationship diesen Fehler";Gerd;Frank;The check for the UI field Division on the ERP table TSPA now works. ReTest Ok 18.02.25;;
804;Fix;Int;MRP Profile - RECEIVER Error Upon Replication;;;Link;MRP Profile;High;0;Confirmed;27.02. Maxi has been informed by Michael;Maxi;Frank;;;
805;Fix;Int;Classes - characteristic assignment and ind std desc flag get lost;2503 Fix;;Link;Class ;High;0;Confirmed;"25.03. Fixed by Mike will be transported by Dieter and Sabine will be informed by Dieter
24.03: Retested by Sabine. First part solved, but flag still get lost.
08.03. Missing SAP Note 3512651 in IH1";Sabine;Mike;"31.03. Nachtest von  Sabine erfolgreich. 
ID1K904633 gel. 25.03.  09:13 27.03. 
Mx Auf Retest und Info.";ID1K904633;
806;Fix;Int;Characterstics - Default Flag in Values leads to no change in edit;;;Link;Characteristic;High;0;Confirmed;;Maxi;Mike;;;
810;Fix;Int;MRP Area Upload unchanged data fails;;;Link;MRP Area;High;0;Confirmed ;27.02. Frank to provide a transport to Dieter;Niklas;Dieter;Hi Niklas, I could reproducce the error message with provided upload file. I don't know what is wrong with this - special charcaters, not to be seen? I made a download of MRP Area in a file (located at same folder as yours), made a change and added a record. It's workling fine. Bothe of my files have the prefix '810'. Could you please check again?;;
811;Fix;Int;Upload Tax Code Description with Semikolon fails;;;Link;Tax Code;Low;0;Confirmed;"Once ';' are in conflict to description, other separator could be used";Niklas;Dieter;This is an issue of SAP's coding;;
812;Fix;Int;Scope of Planning is not active after 1 Step Upload;;;Link;Planning Scope;High;0;Confirmed;"27.02. Bitte an Niklas zu testen.
Decision tables of CR-Types were missing";Niklas;Dieter;;;
813;Fix;int;Issue 763 has also wrong desciptions of table /ITR/LSA_TABST. This ticket has been created to split the two topics into two issues;2602;;Link;;Medium;0;In Process;Der Text wurde ursprünglich mal korrekt aus dem ITR übernommen, als das ID1 aufgebaut wurde, wurde alles aus dem ITR übernommen. Vermutlich ist bei der Übersetzung was schief gelaufen. Wie auch immer, die Texte sind falsch und müssen korrigiert werden. ;Frank;Ulla;;;
814;Fix;Int;Classes 500 Error -Field Symbol has not assigned yet;;;Link;Class ;High;0;Confirmed;;Niklas;Mike;;;
816;Fix;Int;Classes not active after CR Approve;2503;;Link;Class ;High;0;Confirmed;27.03.Mx Dieter hat nichts im WF gefunden, wird jetzt auf Mike geroutet.14.03. I checked WF decision tables. These tables are there. In word document I have seen that there occurs a dump ;Niklas;Dieter/Mike;;;
777;Fix;Ext;Address data update issue;2407;;Link;;High;0;on hold;;Intel, Deloitte;Mike;"01.04. On Hold gesetzt. Enhancement Problem, Feature von Frank gebaut, wird von Maren dem Kunden vorgestellt.
14.02. not clear what Deloitte wants now. Something with a 

This is no issue - the address is part of the main object; separate activation of an address without general activation of the company code is not part of the RDM solution";;
819;Fix;Int;ES Specific - Missing / Faulty Translations Clustered;2602;;Link;Translation;Low;0;New;;Maxi;Ulla;;;
820;Fix;Int;Location - Field Key of transfer structure is unknown;2602;;Link;Location;Medium;0;New;;Niklas;Dieter;24.03.25: ID1 and IH1 difference … Plant twice / Address Group does not work. Dieter knows;;
821;Fix;Int;FR /ES - Missing Translations Clustered;2602;;Link;Translation;Low;0;New;;Maxi;Ulla;;;
823;Fix;Int;MRP Area;;;Link;MRP Area;Very High;0;Confirmed;not able to create a MRP Area and assign a plant to it, as the selection of plant does not work.I faced this new issue in processing ticket 810 MRP Area File Upload;Dieter;Frank (Dieter);;;
824;Fix;Int;FR Specific - Missing / Faulty Translations Clustered;2602;;Link;Translation;Low;0;New;;Maxi;;;;
825;Fix;Int;No archive destination defined for Object type I_SO in the Customizing;;;Link;;Medium;0;Confirmed;;Niklas;Niklas;;;
826;Fix;Int;MRP-Type XML Transformation Error;;;Link;MRP Type;Medium;0;Confirmed;;Niklas;Niklas;Transport ID1K904309 fix - wrong attribute name in xml file;;
827;Fix;Int;Product HRY no change is possible for sub-node - missing an active edit button;2507;;Link;Product Hierarchy;High;0;Confirmed;;Michael;Dieter;"08.04. Mx Anfrage an Gerd, ob er testen könnte.
Transport ID1K904311 fix
Gerd: ReTest 08.03.25 successfully tested and documented in the defect";;
828;Fix;Int;RDM Object Shipping Type PF4 Revise picklists Language;2602;;Link;Language;Medium;0;New;;Gerd;Frank;;;
829;Fix;Int;Upload One Time Account Group Vendor fails;;;Link;Vendor Account Group;Medium;0;Confirmed;;Niklas;Dieter;filter war nicht aktiviert;;
830;Fix;Int;Customer Account group to many fields in Upload;2602;;Link;Customer Account Group;Low;0;New;;Niklas;Dieter;;;
831;Fix;Int;Material Type Valuation – Error 500 Field Symbol not assigned;;;Link;Material Type;Medium;0;Confirmed;;Niklas;Dieter;Transport ID1K904329 fix;;
832;Fix;Int;Sales Organization - Withdrawal of change request does not work;2602;;Link;Sales Organization;Medium;0;New;"8.9.: Problem ist bei allen entitätstypen vorhanden
04.03. Problem im Workflow BF+.";Sabine;Dieter;;;
778;Fix;Ext;Entries are not getting properly locked in Transport for table T077S;2407;;Link;;High;0;Confirmed;;Intel, Deloitte;Mike;27.03. MX Geliefert am 19.02.2025 von Mike. Keine Rückmeldung vom Kunden.;;
834;Fix;Int;Valuation Class Upload Variante 500 error;;;Link;Class ;Low;0;Confirmed;;Niklas;Dieter;;;
835;Fix;Int;Valuation Class Upload Variante missing;;;Link;Class ;Low;0;Confirmed;The creation of these upload variants ITR_VC, ITR_VCT has been done by Niklas. These variants need to be translated before assignment to BC-Set;Niklas;Ulla;;;
836;Fix;Int;Sales Organization - missing check for combination storage location plant;2602;;Link;Sales Organization;Medium;0;New;8.9.: Problem existiert noch;Sabine;;;;
837;Fix;Int;Sales Organization - Purch doc category overwritten with first letter of order type;2503 Fix;;Link;Sales Organization;High;0;Confirmed;;Sabine;Mike;"31.03. Sabine Nachtest erfolgreich, Solved.
27.03. Kritischer Defect muss ggf. mit 2503 Fix geliefert werden.   ID1K904702 21:00h";;
839;Fix;Int;Company Code – no check for mandatory field currency – no inconsistency shown;2602;;Link;Company Code;Medium;0;New;;Sabine;;10.11. Sabine: currency is mandatory in spro as well. Could not find customizing for this. Thus we should make it mandatory as well;;
840;Fix;Int;Operating Concern - Missing Translations in DE / FR / ES;2602;;Link;Operating Concern;Low;0;New;;Maxi;;;;
780;;;;;;Link;;;0;Closed;;;;;;
842;Fix;Int;Classes - DE FR ES  Translation Issues;2602;;Link;Class ;Low;0;New;;Maxi;;23.06. Ulla testet nochmal ;;
844;Fix;Int;FR ES Translation - Tax Code - Missing or Faulty Translations;2602;;Link;Tax Code;Low;0;New;;Maxi;;;;
845;Fix;Int;RDM Object Region PF4 Revise picklists Language;2602;;Link;Region;Medium;0;New;;Gerd;Frank;;;
846;Fix;Int;Operating Concern - Missing Field Check for Key;2602;;Link;Operating Concern;Medium;0;New;;Maxi;;;;
818;Fix;Ext;Sales Office not active after 1 Step Upload;;;Link;Sales Office;Medium;0;Confirmed;;Niklas;;;;
848;Fix;Int;RDM Object Sales Organization PF4 Revise picklists Storage location;2602;;Link;Sales Organization;Medium;0;New;8.9.: Problem existiert noch;Gerd;Frank;;;
849;Fix;Int;MDF Validation Internal Server Error for Source field interval ;2602;;Link;several;Medium;0;New;;Ulla;;;;
851;Fix;Int;Scope of Planning – search criteria plant and MRP area do not work together;2602;;Link;Planning Scope;Low;0;New;;Sabine;;;;
852;Fix;Int;Characterstics - Replication Error in IR Systems;;;Link;Characteristic;High;0;Confirmed;24.02.2025 Michael: sent to Frank;Maxi;Frank;;;
853;Fix;Int;Division – copy does not work;;;Link;Division;Medium;0;Confirmed;27.8.: tested by Sabine;Sabine;;;;
855;Fix;Int;Division – deletion of description in DE not replicated;;;Link;Division;High;0;Confirmed;"27.02. Sabine has been informed by Michael
24.02.2025 Michael: sent to Frank";Sabine;Frank;;;
856;Fix;Int;Functional Area - handling of descriptions that are too long - message USMD;2602;;Link;Functional Area;Medium;0;New;;Sabine;;;;
857;Fix;Int;Characterstics - Currency Format - Negative Values cannot be saved;2503;;Link;Characteristic;High;0;Confirmed;24.03.25: Retested by Maxi - solved! 13.03.25: Retested by Mike for investigation purposes without issues;Maxi;Mike;;;
858;Fix;Int;Functional Area – Deletion of description not replicated;;;Link;Functional Area;High;0;Confirmed;"27.02. Sabine has been informed by Michael
24.02.2025 Michael: sent to Frank";Sabine;Frank;;;
859;Fix;Int;RDM Object Plant PF4 Revise picklists Language Key;2602;;Link;Plant;Medium;0;New;;Gerd;Frank;;;
860;Fix;Int;MRP Area Deletion of storage location not replicated;2503;;Link;MRP Area;High;0;Confirmed;;Ulla;Frank;"05.05. Mx Ulla leider negativ getested.
ID1K904641 gel. 25.03. 10:16
27.03. Mx Auf Retest gestellt und Info.";;
861;Fix;Int;Sales Group ES/FR missing translations;2507;;Link;Sales Group;Low;0;Confirmed ;;Ulla;Ulla;;;
862;Fix;Int;Tax Code FR Translation: some fields in german;2602;;Link;Tax Code;Low;0;New;;Ulla;Ulla;;;
